Product Name
Scripto Aim 'n Flame Multi-Purpose Lighter
Hefty Party Cups
Tide or Tide Pods Laundry Detergent
Purex Laundry Detergent
Brawny Paper Towels
Charmin Bathroom Tissue
Cascade Dishwasher Detergent
Arm & Hammer Laundry Detergent
Ajax 28-oz or Suavitel 25-oz
Angel Soft Bathroom Tissue
"When You Spend $40 on Bounce, Bounty, Cascade, Charmin, Dawn, Febreze, Gain, Downy, Mr. Clean"
Bounty Quilted Napkins
Carbona Stain Devils Stain Remover or Color Grabber
Charmin Bathroom Tissue
Dawn Powerwash Dish Spray or Refill
Dixie Plates or Bowls
Downy Fabric Softener
Energizer Max Alkaline Batteries
Fabuloso 128-oz or Suavitel 100–105-oz
Hefty Slider Bags
Hefty Tall Kitchen Bags
Lysol Cleaner
Q-tips
Christmas LED Lighted Snowman
Tin Box with Window
Light Mix 50 LED String Lights 16-ft 3-in total length Multi-Color or Warm White
Pine-Sol Multi-Surface Cleaner
Publix Wooden Building Blocks with Map
Stanley Jr. DIY Build Kit
Windex Cleaner
