Product Name
6-Pack Blue Point Beer
Buck Shack Red Blend Wine
California Traditions Cabernet Sauvignon Wine
Celsius
Charles Krug Wine
6-Pack Dogfish Head Beer
12-Pack Dos Equis Lager Especial
12-Pack Dunkin' Spiked Iced Tea
Francis Coppola Diamond Collection Wine
8-Pack Guinness Draught Stout
Hawk Crest Cabernet Sauvignon Wine
12-Pack Heineken Silver Beer
Jacks Peak Cabernet Sauvignon Wine
Josh Cellars Cabernet Sauvignon Wine
12-Pack Kona or Goose Island Beer Co. Beer
La Marca Prosecco Wine
24-Pack Michelob Ultra Beer
12-Pack Modelo Especial or Corona Extra Beer
12-Pack New Belgium Beer
Sunscape Wine
Navigator Napa Cabernet Sauvignon Wine
Maison de Madeleine Brut Wine
Rodney Strong Cabernet Sauvignon Wine
Rodney Strong Chardonnay or Sauvignon Blanc Wine
12-Pack Samuel Adams Beer
12-Pack Simply Spiked Lemonade
Sonoma-Cutrer Sonoma Coast Chardonnay Wine
Sunscape Pinot Grigio Wine
12-Pack Truly Hard Seltzer: Berry or Unruly
Veuve Clicquot Brut Champagne
6-Pack Victory Beer
Yellow Tail Chardonnay Wine
24-Pack Yuengling Traditional Amber Lager
